,PUMA,PUMA_CommunityDistrict,PUMA_neighborhoods,entropy_index_9,entropy_index_0,entropy_index_1,entropy_index_change_90_00,entropy_index_change_00_10,mean_entropy,median_inc_fam_9,median_rent_9,median_inc_fam_0,median_rent_0,median_inc_fam_1,median_rent_1,rent_income_ratio_9,rent_income_ratio_0,rent_income_ratio_1,inc_growth_90_00,inc_growth_00_10,rent_growth_90_00,rent_growth_00_10
0,3701,Bronx Community District 8,"Riverdale, Fieldston & Kingsbridge PUMA",0.9479967683814398,0.9719116064693656,0.971036256528299,0.025226708450448276,-0.0009006476877526648,0.9636482104597014,44167.0,494.0,51299.0,700.0,62159.0,1085.0,0.1404360614407769,0.16631759463600457,0.19878055360707927,0.23119257709451468,0.30858224925746747,0.4346456692913385,0.4936170212765958
1,3702,Bronx Community District 12,"Wakefield, Williamsbridge & Woodlawn PUMA",0.9140752413801527,0.9521230200254891,0.9563270287231175,0.04162434001372617,0.0044154049520994665,0.9408417633762531,39708.5,531.5,46601.0,724.0,59099.5,1096.5,0.16834295377143055,0.1939865934154662,0.22371503604495796,0.16384399141565376,0.30289908923834563,0.35650513061791456,0.4833439417001061
2,3703,Bronx Community District 10,"Co-op City, Pelham Bay & Schuylerville PUMA",0.9056027828995864,0.9387120788826062,0.9454601829844841,0.03656050600574501,0.007188683573679411,0.9299250149222256,47155.0,575.0,52801.0,782.0,67596.0,1134.0,0.14715622750179985,0.17021699190625156,0.1899520681697142,0.26423388591705943,0.27444813326343986,0.3427152317880795,0.5221354166666667
3,3704,Bronx Community District 11,"Pelham Parkway, Morris Park & Laconia PUMA",0.9275869224806593,0.9525136070228247,0.9587388824002947,0.02687261316222922,0.006535628815768524,0.9462798039679262,36393.5,523.5,40273.0,733.0,57014.0,1059.5,0.16786078196573842,0.19497761206809058,0.21839550224286786,0.13334823567141352,0.29745976662067675,0.3952330293819656,0.49032781737497266
4,3705,Bronx Community District 3 & 6,"Belmont, Crotona Park East & East Tremont PUMA",0.820355421090219,0.831353768354614,0.8966951304892357,0.013406807563700607,0.07859633843236535,0.8494681066446895,13400.0,356.0,19793.0,536.5,26319.5,837.5,0.30840817864234615,0.2888619947418383,0.3693114232171989,0.4676912273463002,0.2729017642746452,0.39254465987139253,0.5874905405850032
5,3706,Bronx Community District 7,"Bedford Park, Fordham North & Norwood PUMA",0.8882549247046615,0.8952769893402803,0.9408731617720065,0.007905460966572964,0.05092968207004356,0.908135025272316,25092.5,469.5,26736.0,680.5,33180.0,989.0,0.22077836580776047,0.30609503812220273,0.3560871063631124,0.10648343960802176,0.17447061526858287,0.4310438818014928,0.44407880255337884
6,3707,Bronx Community District 5,"Morris Heights, Fordham South & Mount Hope PUMA",0.8233672080593399,0.8505163532956372,0.9102644406991033,0.032973313693518636,0.07024919294255794,0.8613826673513602,16148.0,444.0,21376.0,609.0,27788.0,926.0,0.33531308331919224,0.3418787425149701,0.37767316745124413,0.35957990019728436,0.3015236225513209,0.368421052631579,0.5415335463258786
7,3708,Bronx Community District 4,"Concourse, Highbridge & Mount Eden PUMA",0.8664201953936109,0.8543372393197695,0.9259376807241985,-0.0139458384489205,0.0838081709530043,0.8822317051458596,15738.0,424.0,22161.0,602.0,30937.0,923.0,0.3255044657624876,0.320970873973411,0.3475259202933588,0.26191060817911094,0.3538775027885369,0.39293598233995586,0.5037027434330994
8,3709,Bronx Community District 9,"Castle Hill, Clason Point & Parkchester PUMA",0.9110868404727979,0.9146578272227339,0.9649676396840312,0.003919480110241569,0.055003970844548444,0.9302374357931876,31619.0,465.0,35118.5,659.5,42323.5,1015.5,0.18954737987233317,0.21968168691217,0.26221922698889916,0.09439455822952014,0.32412390962267146,0.3846153846153846,0.5197787710215763
9,3710,Bronx Community District 1 & 2,"Hunts Point, Longwood & Melrose PUMA",0.7755011535499855,0.8283060399312034,0.9001017641473371,0.06809130604060964,0.08667777458449644,0.8346363192095088,11733.0,317.0,19980.5,395.0,25231.5,755.5,0.30726395863006034,0.2599447812954662,0.3303983076972139,0.5971969969709415,0.37367518020108625,0.23797592729059192,0.703100158982512
10,4001,Brooklyn Community District 1,Greenpoint & Williamsburg PUMA,0.8995926892221341,0.9171851483660992,0.9730422788996699,0.019556027249595598,0.06090060511018547,0.929940038829301,22301.5,408.5,32634.5,648.5,49116.0,1164.0,0.19752164672275108,0.23405076105498399,0.28425780718316396,0.25658582230774685,0.5375200940438312,0.57020355461036,0.8120223978919631
11,4002,Brooklyn Community District 4,Bushwick PUMA,0.8376298683495623,0.8698543674635693,0.9458855871561366,0.038471048289504095,0.08740683789893322,0.8844566076564228,16576.0,441.5,23177.5,633.5,37776.5,1027.0,0.30616841175141263,0.32180109324983486,0.3159009304020529,0.4414047957135846,0.5936047760072576,0.4270328268182346,0.6084058082557274
12,4003,Brooklyn Community District 3,"Bedford-Stuyvesant PUMA,",0.8947039609684158,0.8946928931145848,0.9576519775598694,-1.2370408888129347e-05,0.0703694920679574,0.9156829438809567,19899.0,391.0,28375.0,574.0,39193.0,976.0,0.2237298356701342,0.2275183507730751,0.2819043951282915,0.4191843496095291,0.47146915907702924,0.4233766233766234,0.6964618249534451
13,4004,Brooklyn Community District 2,Brooklyn Heights & Fort Greene PUMA,0.9616990551441708,0.9684633819296797,0.9411505788768284,0.007033725102802535,-0.02820220522786321,0.9571043386502263,35588.0,519.0,47888.0,733.0,76571.0,1337.0,0.17446905686229733,0.18225568578747187,0.18320124540050947,0.37660776535641305,0.6237022434994837,0.49744897959183665,0.7128463476070528
14,4005,Brooklyn Community District 6,"Park Slope, Carroll Gardens & Red Hook PUMA",0.9548359588806009,0.9683283252959567,0.8996869291430183,0.014130559589705438,-0.07088649000529756,0.9409504044398588,38275.0,613.0,66291.0,927.0,113862.5,1705.5,0.18995883538742142,0.1678172014138899,0.18276341419349318,0.547341531415391,0.5856625692147923,0.4743932346504276,0.8217942983591893
15,4006,Brooklyn Community District 8,Crown Heights North & Prospect Heights PUMA,0.9346006891605826,0.9273782192820059,0.9730092432470414,-0.007727867058458515,0.04920433003091662,0.9449960505632099,23750.0,443.0,29857.0,606.0,41898.0,1011.0,0.2141692789968652,0.23622966773251772,0.27507163323782235,0.3436794582392777,0.4415217391304347,0.399548532731377,0.673841059602649
16,4007,Brooklyn Community District 16,Brownsville & Ocean Hill PUMA,0.8630694948185474,0.8503918269448394,0.9343381711485063,-0.014689046420732765,0.09871490005408057,0.882599830970631,18804.5,416.0,24287.0,573.0,33607.0,871.0,0.24722451580243465,0.25360147955144885,0.30896046539887434,0.27216569764079346,0.43329224326297466,0.34082477168949776,0.5747615475297396
17,4008,Brooklyn Community District 5,East New York & Starrett City PUMA,0.8963558165509622,0.912591942460952,0.9531485505327966,0.018113483072452086,0.044441120050300986,0.9206987698482368,22841.0,523.5,30379.0,683.0,38750.5,1112.5,0.2548219539583187,0.258182789493416,0.3142567322589558,0.22078373305736498,0.3688811703796635,0.21235994397759095,0.6156314699792961
18,4009,Brooklyn Community District 18,Canarsie & Flatlands PUMA,0.9096810587536688,0.945421261136532,0.9375099997666887,0.03928871777524967,-0.008367974885960194,0.9308707732189632,47244.0,607.0,56467.0,836.0,72952.0,1171.0,0.15827128047890204,0.17605547908208605,0.19734418453463035,0.233698617679156,0.3692018688887819,0.3450292397660819,0.4803591470258137
19,4010,Brooklyn Community District 17,"East Flatbush, Farragut & Rugby PUMA",0.9192658952027708,0.9490516822918645,0.9694521309478562,0.032401710152124785,0.021495614028865795,0.9459232361474972,38516.0,523.0,40357.0,710.0,53452.0,1036.0,0.18065390062188288,0.20679422100741898,0.21911586784550954,0.11099276091287447,0.3106302448722116,0.3373737373737373,0.46027397260273983
20,4011,Brooklyn Community District 9,"Crown Heights South, Prospect Lefferts & Wingate PUMA",0.9255771195891435,0.935948223954829,0.9733866841252437,0.011205013765129834,0.04000056756582038,0.9449706758897388,29940.5,486.5,32621.0,652.5,44921.5,960.5,0.19656914795649877,0.23795508948035204,0.25560072878090023,0.21277072581217749,0.27655069445230884,0.37611288082986194,0.4745903002264291
21,4012,Brooklyn Community District 7,Sunset Park & Windsor Terrace PUMA,0.9234779017473099,0.9516924182414885,0.9801786369683693,0.03055245441260035,0.029932169449785828,0.9517829856523892,28507.0,507.0,31293.0,716.0,38610.0,1110.0,0.2199948974013194,0.2793560017405358,0.3163772661210128,0.2288156288156289,0.3288371039585274,0.4039215686274509,0.536404160475483
22,4013,Brooklyn Community District 10,Bay Ridge & Dyker Heights PUMA,0.9321499205744703,0.973946682589339,0.9743192508663392,0.04483909840287281,0.00038253457161507853,0.9601386180100495,42500.0,536.0,55625.0,761.0,66136.0,1158.0,0.15544613685518383,0.17420263865761496,0.2059789182650769,0.25067517168651454,0.22071351351351343,0.4169811320754717,0.5277777777777777
23,4014,Brooklyn Community District 12,"Borough Park, Kensington & Ocean Parkway PUMA",0.9395131320358158,0.9570822130741548,0.9789434096908256,0.018700197409980746,0.02284150339232882,0.958512918266932,31786.0,523.0,36250.0,742.0,43980.0,1118.0,0.2029570861882438,0.23971797884841364,0.3037757845399824,0.14600936911693885,0.17142857142857149,0.4053030303030303,0.5231607629427792
24,4015,Brooklyn Community District 14,Flatbush & Midwood PUMA,0.9526379449233561,0.9602597177824652,0.9811357268280169,0.008000702575124086,0.02173996124065347,0.9646777965112795,33836.0,504.0,38380.0,708.0,53725.0,1040.0,0.17797237296497287,0.23199583116206357,0.2393039991407397,0.10368306136520333,0.43406138826838747,0.39453125,0.46696035242290757
25,4016,Brooklyn Community District 15,"Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",0.9244163656707117,0.9682739284145371,0.9686885089511729,0.04744351611733366,0.00042816451467886374,0.9537929343454739,41049.0,520.0,48381.0,740.5,62167.5,1047.5,0.15596312036118617,0.1827594251933531,0.20957995331245913,0.15893701377496594,0.22971447728619565,0.424458097575807,0.4170453744803776
26,4017,Brooklyn Community District 11,Bensonhurst & Bath Beach PUMA,0.9228813580336027,0.9577047630829741,0.9774639946233897,0.0377333497380099,0.02063186098898373,0.9526833719133222,32904.0,520.0,41945.0,708.0,46714.0,1010.0,0.19332807985290254,0.21369285494708182,0.25658409387222947,0.19729181222344216,0.19322979300463117,0.3597560975609757,0.4219810040705563
27,4018,Brooklyn Community District 13,Brighton Beach & Coney Island PUMA,0.9162612192553476,0.9355934723382464,0.9774028013849112,0.021099062883628505,0.04468749545908479,0.943085830992835,27209.0,445.0,33286.0,596.0,48846.0,857.0,0.19976312672720095,0.22911227154046998,0.21278742881856844,0.2405799262047632,0.40620031796502376,0.4295774647887325,0.5020408163265306
28,3801,Manhattan Community District 12,"Washington Heights, Inwood & Marble Hill PUMA",0.9083095621731023,0.9232738073401092,0.9745322662776764,0.016474829496681,0.05551815564359974,0.9353718785969627,22545.5,439.0,28032.0,635.5,37329.5,942.5,0.2403845418184446,0.2675971220282848,0.29249378561966566,0.23457601254300464,0.38819816146552566,0.46412227571569087,0.5207510832932114
